city,place_name,label_1번 (고즈넉/사색)_ratio,label_2번 (레트로/빈티지)_ratio,label_3번 (청량/애니메이션)_ratio,label_4번 (아기자기/소박)_ratio,top_label,sentence_count,place,top1_label,top1_ratio,top2_label,top2_ratio,place_description
가고시마,COMMON COFFEE COUNTER,14.3,40.3,16.9,28.6,label_2번 (레트로/빈티지),77,카페,2번 (레트로/빈티지),40.3,4번 (아기자기/소박),28.6,"COMMON COFFEE COUNTER은/는 가고시마에 위치한 카페로, 전통적이고 레트로한 빈티지 감성이 약 40.3%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 28.6%로 함께 나타난다. "
가고시마,Coffee Izumi Tenmonkan,25.0,5.0,20.0,50.0,label_4번 (아기자기/소박),20,카페,4번 (아기자기/소박),50.0,1번 (고즈넉/사색),25.0,"Coffee Izumi Tenmonkan은/는 가고시마에 위치한 카페로, 아기자기하고 소박한 감성이 약 50.0%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 25.0%로 함께 나타난다. "
가고시마,Mateno Coffee,16.1,21.4,16.1,46.4,label_4번 (아기자기/소박),56,카페,4번 (아기자기/소박),46.4,2번 (레트로/빈티지),21.4,"Mateno Coffee은/는 가고시마에 위치한 카페로, 아기자기하고 소박한 감성이 약 46.4%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 21.4%로 함께 나타난다. "
가고시마,가고시마 성,39.4,26.6,30.9,3.2,label_1번 (고즈넉/사색),94,명소,1번 (고즈넉/사색),39.4,3번 (청량/바다),30.9,"가고시마 성은/는 가고시마에 위치한 명소로, 조용하고 차분한 분위기이 약 39.4%로 가장 높게 나타나며, 맑고 청량한 풍경과 애니메이션 장면처럼 밝고 생동감 있는 분위기도 약 30.9%로 함께 나타난다. "
가고시마,구마소테이,6.5,47.8,37.0,8.7,label_2번 (레트로/빈티지),46,식당,2번 (레트로/빈티지),47.8,3번 (청량/바다),37.0,"구마소테이은/는 가고시마에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 47.8%로 가장 높게 나타나며, 맑고 청량한 풍경과 애니메이션 장면처럼 밝고 생동감 있는 분위기도 약 37.0%로 함께 나타난다. "
가고시마,돈카츠 쿠로다,17.8,49.2,9.3,23.7,label_2번 (레트로/빈티지),118,식당,2번 (레트로/빈티지),49.2,4번 (아기자기/소박),23.7,"돈카츠 쿠로다은/는 가고시마에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 49.2%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 23.7%로 함께 나타난다. "
가고시마,마린 포트 가고시마,26.8,17.9,50.0,5.4,label_3번 (청량/애니메이션),56,명소,3번 (청량/바다),50.0,1번 (고즈넉/사색),26.8,"마린 포트 가고시마은/는 가고시마에 위치한 명소로, 맑고 청량한 풍경과 애니메이션 장면처럼 밝고 생동감 있는 분위기이 약 50.0%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 26.8%로 함께 나타난다. "
가고시마,사이고 동굴,40.9,24.2,27.3,7.6,label_1번 (고즈넉/사색),66,명소,1번 (고즈넉/사색),40.9,3번 (청량/바다),27.3,"사이고 동굴은/는 가고시마에 위치한 명소로, 조용하고 차분한 분위기이 약 40.9%로 가장 높게 나타나며, 맑고 청량한 풍경과 애니메이션 장면처럼 밝고 생동감 있는 분위기도 약 27.3%로 함께 나타난다. "
가고시마,센간엔,33.4,29.7,29.1,7.7,label_1번 (고즈넉/사색),323,명소,1번 (고즈넉/사색),33.4,2번 (레트로/빈티지),29.7,"센간엔은/는 가고시마에 위치한 명소로, 조용하고 차분한 분위기이 약 33.4%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 29.7%로 함께 나타난다. "
가고시마,센간엔 찻집,26.7,53.3,13.3,6.7,label_2번 (레트로/빈티지),15,카페,2번 (레트로/빈티지),53.3,1번 (고즈넉/사색),26.7,"센간엔 찻집은/는 가고시마에 위치한 카페로, 전통적이고 레트로한 빈티지 감성이 약 53.3%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 26.7%로 함께 나타난다. "
